id,name,x,y,player_id,rank,unknown
474,Lufirens+village,470,462,11458449,181,0
475,Mr.Brokens+village,419,512,11493562,162,0
476,Barbarian+village,478,475,0,21,0
477,joking123s+village,483,455,848928384,21,0
478,-LastT-s+village,486,485,849059315,163,0
479,davidekboriss+village,500,487,849046554,21,0
480,Barbarian+village,542,523,0,21,0
481,Rasmrazs+village,507,489,849051843,21,0
482,Nirathiens+village,506,491,849063965,21,0
483,Barbarian+village,472,448,0,21,0
484,Miss-A-Ys+village,496,487,849038001,21,0
485,Barbarian+village,448,465,0,21,0
486,coolnielsens+village,472,489,339648,173,0
487,merlss+village,474,483,792701,21,0
488,Barbarian+village,464,543,0,21,0
489,La+vieille+dame,469,487,2948330,192,0
490,Barbarian+village,509,429,0,33,0
491,Bonus+village,482,467,0,21,9
492,Schtevs+village,466,492,4835134,87,0
493,limkaikais+village,474,500,7600921,101,0
494,Barbarian+village,452,548,0,27,0
495,Bart1975s+village,455,486,9927865,69,0
496,Chappas+village,464,503,11460226,130,0
497,moggezzs+village,458,504,11477015,117,0
498,Barbarian+village,500,514,0,21,0
499,GalenChokladkakas+village,485,485,11540057,112,0
500,Barbarian+village,445,547,0,21,0
501,bambamsam1997s+village,483,491,51051,21,0
502,dersechsundvierzigstes+village,472,492,848942234,138,0
503,hackelitos+village,463,486,848995812,21,0
504,Simpe93s+village,467,476,849016298,21,0
505,erru9107s+village,459,504,849013228,66,0
506,Ida90s+village,477,498,849013922,62,0
507,Barbarian+village,510,439,0,21,0
508,catfish+guys+village,502,494,3194756,21,0
509,Barbarian+village,475,527,0,28,0
510,Oldwelshblokes+village,505,487,7669475,48,0
511,Barbarian+village,467,462,0,21,0
512,Xanthelnors+village,502,497,9838754,21,0
513,Barbarian+village,542,438,0,27,0
514,SirTubas+village,512,493,10745269,21,0
515,ALL+vs+MEs+village,495,488,9518271,74,0
516,Barbarian+village,429,489,0,21,0
517,Bonus+village,513,484,0,22,8
518,Lord+Samas+village,505,492,9988277,91,0
519,Barbarian+village,560,538,0,21,0
520,tsotsonatss+village,500,482,848902466,135,0
521,Barbarian+village,508,467,0,21,0
522,dodsmarsjs+village,496,493,848948662,21,0
523,Barbarian+village,548,529,0,21,0
524,001,499,498,849043711,107,0
525,Barbarian+village,467,442,0,22,0
526,nickbrors+village,492,482,849059206,69,0
527,001.,491,480,246400,176,0
528,Barbarian+village,522,499,0,21,0
529,gunszxs+village,493,476,436623,21,0
530,Barbarian+village,487,452,0,27,0
531,davyws+village,482,473,733694,157,0
532,125+001,489,481,4904468,147,0
533,Barbarian+village,505,468,0,21,0
534,Coming+to+a+villa+near+you,490,477,7533635,174,0
535,No+Time+To+Dies+village,493,469,849060322,74,0
536,Barbarian+village,462,479,0,30,0
537,Martyn+De+Buggurrbucs+village,499,482,9816586,21,0
538,Barbarian+village,526,560,0,21,0
539,Kongo+Kays+village,498,468,9893733,186,0
540,rampager213s+village,505,498,10438848,182,0
541,Firehouse,483,483,11012900,186,0
542,Barbarian+village,482,486,0,21,0
543,king556s+village,491,487,11059041,164,0
544,LULiiBUC3Ds+village,510,487,11273757,185,0
545,Barbarian+village,568,532,0,21,0
546,Constantins+village,503,466,11293057,21,0
547,Sorry+i+am+quit,485,469,11323761,21,0
548,Barbarian+village,458,524,0,21,0
549,Copperhead,473,483,11367226,164,0
550,Barbarian+village,477,538,0,27,0
551,hulijas+village,492,475,11457613,53,0
552,Barbarian+village,547,543,0,21,0
553,Bonus+village,499,517,0,27,2
554,Viking+Haralds+village,496,483,11458468,171,0
555,henriqueanderson2012s+village,478,490,11465383,21,0
556,Barbarian+village,478,570,0,21,0
557,Teco2s+village,475,499,849061078,21,0
558,Barbarian+village,482,531,0,21,0
559,ZeroKillers+village,486,466,11518657,21,0
560,Barbarian+village,549,495,0,23,0
561,Lord+Matss+village,479,480,11594289,82,0
562,Barbarian+village,521,452,0,21,0
563,RaidenPTs+village,489,485,848933112,135,0
564,Pickle+Juice,504,492,848963444,188,0
565,Barbarian+village,486,424,0,27,0
566,Noble+Needs+Sockss+village,475,488,849024965,79,0
567,Barbarian+village,510,531,0,33,0
568,starriders+village,493,491,849044055,21,0
569,Barbarian+village,483,509,0,21,0
570,Pagans+Ages+village,498,481,849058437,21,0
571,Barbarian+village,455,551,0,22,0
572,dekkers+village,496,488,11486255,70,0
573,SeekingAtillas+village,504,486,8581496,21,0
574,hoyt+10s+village,509,475,344355,51,0
575,Barbarian+village,441,464,0,28,0
576,Arol1s+village,500,493,11460722,21,0
577,TheCucumbers+village,468,535,11470931,165,0
578,Emilio+Aguinaldos+village,486,478,1543676,96,0
579,MrForsberGs+village,488,471,8700661,105,0
580,Barbarian+village,517,440,0,21,0
581,Dream%2As+village,480,473,9670541,101,0
